,business_id,name,address,city,state,latitude,longitude,stars,review_count,is_open,categories,BusinessAcceptsCreditCards,BikeParking,GoodForKids,ByAppointmentOnly,RestaurantsPriceRange2,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
41632,7mOWMhlibS62hedb1m5A3Q,The Summit,200 Shiloh St,Pittsburgh,PA,40.43071171,-80.00749105,4.5,171,1,"Lounges, American (New), Nightlife, Restaurants, Bars, Cocktail Bars, Pubs, Wine Bars",TRUE,TRUE,FALSE,,2,17:0-2:0,17:0-2:0,17:0-2:0,17:0-2:0,17:0-2:0,17:0-2:0,17:0-2:0
41868,xJTu-eNbVET4evm-eBVDzA,Tan Izakaya,815 S Aiken Ave,Pittsburgh,PA,40.4504837,-79.9351521,4,88,0,"Restaurants, Ramen, Japanese, Sushi Bars",TRUE,TRUE,TRUE,,2,,16:30-22:0,16:30-22:0,16:30-22:0,16:30-22:0,11:30-22:0,16:30-22:0
41873,4o2DEgSgY2sDZ16g6U03-w,Excuses Bar & Grill,2526 E Carson St,Pittsburgh,PA,40.4272666,-79.9687359,4,35,1,"Restaurants, Nightlife, Bars, American (Traditional)",TRUE,TRUE,FALSE,,1,10:0-2:0,10:0-2:0,10:0-2:0,10:0-2:0,10:0-2:0,10:0-2:0,11:0-2:0
42028,nMV7Sn15I87tDlHJiSE92A,Fat Tommy's Pizzeria,115 Forbes Ave,Pittsburgh,PA,40.4410274,-80.003365,3.5,18,0,"Pizza, Restaurants",TRUE,TRUE,TRUE,,1,10:30-20:0,10:30-20:0,10:30-20:0,10:30-20:0,10:30-20:0,11:0-17:0,
42354,O4eH0Hlu7lr_uuE2-Ymydw,The Hop House - Greentree,2749 Noblestown Rd,Pittsburgh,PA,40.4211359,-80.0667198,3,76,1,"Music Venues, Restaurants, Bars, American (Traditional), Arts & Entertainment, Nightlife",TRUE,TRUE,FALSE,,2,11:0-2:0,11:0-2:0,11:0-2:0,11:0-2:0,11:0-2:0,11:0-2:0,11:0-2:0
42386,ZKBUoCqTpwMtmImz64DGyQ,Hong Kong Express II,529 Ct Pl,Pittsburgh,PA,40.437018,-79.997166,3.5,14,1,"Restaurants, Chinese, Thai",TRUE,,TRUE,,1,11:0-22:0,11:0-22:0,11:0-22:0,11:0-22:0,11:0-22:0,12:0-22:0,
42413,w-C9LX2gMSCHZzmrsHWrsg,Nipper's Pizzeria,303 Beverly Rd,Pittsburgh,PA,40.388527,-80.0495892,3,24,1,"Pizza, Restaurants, Breakfast & Brunch, Italian",TRUE,TRUE,TRUE,,2,11:0-0:0,11:0-0:0,11:0-0:0,11:0-0:0,11:0-2:0,11:0-2:0,11:0-0:0
42507,QIahrchu9mUW8DGZla8c7w,Schorr Bakery,433 Perry Hwy,Pittsburgh,PA,40.5194773,-80.0326429,4.5,21,0,"Bakeries, Food, Restaurants",FALSE,TRUE,,,1,,7:0-13:0,7:0-13:0,7:0-13:0,7:0-13:0,7:0-13:0,
42675,GYuRMJZfWMg4SZD5RfOSzw,Subway,700 Forbes Ave,Pittsburgh,PA,40.438207,-79.992264,2.5,5,1,"Sandwiches, Restaurants, Fast Food",,,,,1,7:0-22:0,7:0-22:0,7:0-22:0,7:0-21:0,7:0-21:0,8:0-21:0,8:0-20:0
42738,5VLwQAIheQwmpusFa-tC6w,Chipotle Mexican Grill,1614 Cochran Rd,Pittsburgh,PA,40.391707,-80.05985291,3,44,1,"Restaurants, Mexican, Fast Food",TRUE,TRUE,TRUE,,1,10:45-22:0,10:45-22:0,10:45-22:0,10:45-22:0,10:45-22:0,10:45-22:0,10:45-22:0
42756,YjmbCvygeMj9dfJp6neQ_A,City Oven,336 4th Ave,Pittsburgh,PA,40.43896149,-80.00014544,4,43,0,"Pizza, Restaurants",TRUE,FALSE,TRUE,,1,7:0-15:0,7:0-15:0,7:0-15:0,7:0-15:0,7:0-15:0,,
42841,2JYszoQKgJj6pPbaN7cLwQ,Asiago's,381 N Shore Dr,Pittsburgh,PA,40.445837,-80.01135841,3.5,37,0,"Restaurants, Italian, Caterers, Event Planning & Services",TRUE,TRUE,FALSE,,2,11:0-21:0,11:0-21:0,11:0-21:0,11:0-21:0,11:0-22:0,11:0-22:0,11:0-20:0
43210,_toz5ca6UeEMm-ScLakofg,Packs & Dogs,223 Shiloh St,Pittsburgh,PA,40.4299435,-80.0071366,3.5,83,1,"Nightlife, Restaurants, Bars, Hot Dogs, Mediterranean, Falafel",TRUE,TRUE,TRUE,,1,14:0-21:0,14:0-21:0,13:0-21:0,12:0-21:30,12:0-0:0,12:0-0:0,12:0-0:0
43504,WSAN2er3DhaZ8ybNStxCbw,The Isaly Company,448 Perry Hwy,Pittsburgh,PA,40.5198125,-80.032304,3.5,29,1,"Delis, Restaurants, Local Flavor",TRUE,TRUE,TRUE,,1,7:0-14:0,7:0-14:0,7:0-14:0,7:0-14:0,7:0-14:0,7:0-14:0,7:0-14:0
43514,6V8D6uCQ-ChFap59Fc-ZoA,Coach's Bottleshop & Grille,3105 Banksville Rd,Pittsburgh,PA,40.40030619,-80.04299972,3.5,53,1,"American (New), Bars, Cafes, Burgers, Restaurants, Nightlife",TRUE,TRUE,TRUE,,2,11:30-0:0,11:30-0:0,11:30-0:0,11:30-0:0,11:30-2:0,12:0-2:0,10:0-0:0
43681,7_vGbkiXM_eyVtIxmc0rFQ,Living Juicy,5892 Ellsworth Ave,Pittsburgh,PA,40.4580184,-79.9275787,4.5,13,0,"Food, Restaurants, Juice Bars & Smoothies, Cafes",TRUE,TRUE,TRUE,,1,9:0-18:0,9:0-18:0,9:0-18:0,9:0-18:0,9:0-18:0,10:0-17:0,
43740,50KEvLtQl9Vv4YE1vs681Q,Thai Foon,1950 Settlers Ridge Center Dr,Pittsburgh,PA,40.43861796,-80.14613253,3.5,203,1,"Thai, Asian Fusion, Vegan, Restaurants",TRUE,TRUE,TRUE,FALSE,2,11:0-21:0,11:0-21:0,11:0-21:0,11:0-21:0,11:0-22:0,11:0-22:0,11:0-21:0
43764,o2UAUbXSNRrqleXtSMLniA,Forever Rosemary,472 44th St,Pittsburgh,PA,40.4665086,-79.9539413,2,4,1,"Chinese, Restaurants",,,,,,10:30-22:0,10:30-22:0,10:30-22:0,10:30-22:0,10:30-22:0,11:30-22:0,12:0-22:0
43889,aDHD7nASfqiQBB6YXy2aGA,The Pretzel Shop,2316 E Carson St,Pittsburgh,PA,40.4280867,-79.9722434,4.5,109,1,"Restaurants, American (Traditional), Sandwiches, Food, Pretzels",FALSE,TRUE,TRUE,,1,6:30-17:0,6:30-17:0,6:30-17:0,6:30-17:0,6:30-17:0,8:0-16:0,
43913,kpC2FfWvH9UsIR6PWPkffA,Curry Away,247 Edgewood Ave,Pittsburgh,PA,40.430358,-79.8840227,3.5,35,0,"Thai, Restaurants",TRUE,FALSE,TRUE,,2,16:0-21:0,16:0-21:0,16:0-21:0,16:0-21:0,16:0-22:0,16:0-22:0,16:0-21:0
43922,0YA3RpY5KXcezPXcjdfOGQ,Pittsburgh Steak Company,1924 E Carson St,Pittsburgh,PA,40.428324,-79.978097,2,6,0,"Restaurants, Steakhouses, Sushi Bars, Seafood",,,,,,12:0-21:0,12:0-21:0,12:0-21:0,12:0-21:0,11:0-22:0,11:0-22:0,16:0-20:0
43978,NoF90rswXBHESSyDaWeKKA,Proper Brick Oven & Tap Room,139 7th St,Pittsburgh,PA,40.4435995,-80.0003448,4.5,676,1,"Pizza, Food, Italian, Beer, Wine & Spirits, Bars, Restaurants, Nightlife",TRUE,TRUE,FALSE,,2,0:0-0:0,11:30-23:0,11:30-23:0,11:30-23:0,11:30-0:0,11:30-0:0,11:0-22:0
44127,Pccg1shSg7RQAXedGHft1Q,Pizza Forever,5439 Babcock Blvd,Pittsburgh,PA,40.5430306,-80.0287562,2.5,10,1,"Restaurants, Pizza",TRUE,TRUE,,,,11:0-23:0,11:0-23:0,11:0-23:0,11:0-23:0,11:0-1:0,11:0-1:0,11:0-23:0
44356,QmNrHxN7UahtdliH_kAuUg,Ka Mei,2209 Murray Ave,Pittsburgh,PA,40.4324863,-79.9228558,3.5,92,1,"Chinese, Cantonese, Restaurants",TRUE,TRUE,TRUE,,2,,12:0-22:0,12:0-22:0,12:0-22:0,12:0-22:0,12:0-22:0,12:0-22:0
44463,WthUXmfVevQPMZ_LB2-q-A,La Prima Espresso Co,205 21st St,Pittsburgh,PA,40.4516426,-79.982805,4.5,138,1,"Restaurants, Food, Coffee & Tea, Coffee Roasteries",TRUE,TRUE,,,1,6:0-16:0,6:0-16:0,6:0-16:0,6:0-17:0,6:0-17:0,6:0-17:0,7:0-16:0
44494,RttisSZQkaRtR7vNZTTnXw,Bruegger's Bagels,4885 Mcknight Rd,Pittsburgh,PA,40.52994848,-80.01041991,2.5,19,1,"Bagels, Breakfast & Brunch, Sandwiches, Food, Restaurants, Bakeries",TRUE,FALSE,TRUE,,None,0:0-0:0,5:30-15:0,7:0-14:0,6:0-13:0,5:30-17:0,6:0-16:0,6:0-16:0
44502,5H1gvB-TB_sHWasXdS64Uw,Prestogeorge Fine Foods,1719 Penn Ave,Pittsburgh,PA,40.4501956,-79.985719,4.5,77,1,"Coffee & Tea, Food, Restaurants, Specialty Food, Tea Rooms, Cafes, Coffee Roasteries",TRUE,TRUE,TRUE,,2,0:0-0:0,8:0-15:0,8:0-16:0,8:0-16:0,8:0-17:0,7:0-17:0,9:0-16:0
44503,9Lu2VvdAPswV-RRiQFfXXQ,Steak â€™n Shake,1951 Park Manor Blvd,Pittsburgh,PA,40.45286822,-80.16551472,2,110,0,"Burgers, Restaurants, Fast Food, Sandwiches, American (New), Diners, Breakfast & Brunch, American (Traditional)",TRUE,FALSE,TRUE,,1,10:0-3:0,10:0-3:0,10:0-3:0,10:0-3:0,10:0-0:0,10:0-0:0,10:0-3:0
44635,LLGGe9k7NTVy1Z2wH1_Uew,Tong's Cuisine,228 Semple St,Pittsburgh,PA,40.4394597,-79.9581963,3.5,53,1,"Restaurants, Chinese",TRUE,TRUE,TRUE,,1,11:0-21:0,11:0-21:0,11:0-21:0,11:0-21:0,11:0-21:0,11:0-21:0,12:0-20:0
44901,iv-KMaP0dD07XLyEKJV8gg,CHiKN,3712 Forbes Ave,Pittsburgh,PA,40.4412424,-79.9570192,4,141,1,"Restaurants, Chicken Shop",TRUE,,FALSE,,2,0:0-0:0,9:0-22:0,9:0-22:0,9:0-22:0,9:0-22:0,9:0-22:0,9:0-22:0
44951,tyniJe6u80Z7QmWlX7Wmaw,Starbucks,1001 Liberty Avenue,Pittsburgh,PA,40.4443579,-79.9945772,2.5,20,1,"Cafes, Sandwiches, Food, Fast Food, Coffee & Tea, Restaurants",TRUE,TRUE,,,2,6:0-16:0,6:0-16:0,6:0-16:0,6:0-16:0,6:0-16:0,7:0-14:0,7:0-14:0
44973,ndq4rJcFLMbMGU_gK5u79Q,China Wok,1202 5th Ave,Pittsburgh,PA,40.4384747,-79.9887883,3,39,1,"Restaurants, Chinese, Japanese, Sushi Bars",TRUE,FALSE,TRUE,,1,0:0-0:0,11:0-22:0,11:0-22:0,11:0-22:0,11:0-23:0,11:0-23:0,12:0-22:0
45005,zjOfUAyqyH_BPe7EkFBrEQ,The New York Hot Dog Shop,9022 Old Perry Hwy,Pittsburgh,PA,40.570918,-80.0376689,4.5,36,1,"Hot Dogs, Restaurants, American (Traditional)",FALSE,FALSE,TRUE,,1,6:0-15:0,6:0-15:0,6:0-15:0,6:0-15:0,6:0-15:0,6:0-15:0,
45173,wdTcd7edB9g-zEP6YWBP2A,Gather Restaurant Pittsburgh,164 Fort Couch Rd,Pittsburgh,PA,40.345821,-80.0529341,2.5,10,1,"American (New), Breakfast & Brunch, Restaurants, Bars, Nightlife",TRUE,TRUE,TRUE,,2,16:30-22:0,16:30-22:0,16:30-22:0,16:30-22:0,16:30-22:0,16:30-22:0,16:30-22:0
45264,75azemjvdMXjzzWp-fZDTA,"Liam's Fish, Wings & Things",501 Penn Ave,Pittsburgh,PA,40.4447851,-79.88692661,3,19,0,"Southern, Chicken Wings, Comfort Food, Restaurants, Seafood",TRUE,TRUE,TRUE,,2,11:0-22:0,11:0-22:0,11:0-22:0,11:0-22:0,11:0-22:0,11:0-22:0,11:0-20:0
45271,i-fdgshW3xovHeMZosDerw,My Thai,3024 W Liberty Ave,Pittsburgh,PA,40.39304205,-80.03703681,4,110,1,"Restaurants, Asian Fusion, Salad, Thai, Noodles",TRUE,TRUE,TRUE,,2,11:30-22:0,11:30-22:0,11:30-22:0,11:30-22:0,11:30-22:0,11:30-22:0,11:30-21:0
45367,GbcFCQp9VmgMaW_jaMAq_Q,Spaghetti Warehouse,2601 Smallman St,Pittsburgh,PA,40.455916,-79.979271,2.5,106,0,"Restaurants, Italian",TRUE,TRUE,TRUE,,2,11:0-22:0,11:0-22:0,11:0-22:0,11:0-22:0,11:0-23:0,11:0-23:0,11:0-22:0
45878,UdE2E77qVQRLNxwSy9SJ3Q,Robbie's Super-Stuff Super-Licious Bbq Restaurant,1000 Ardmore Blvd,Pittsburgh,PA,40.409566,-79.843961,4,18,1,"Restaurants, Barbeque",FALSE,TRUE,TRUE,,2,,14:0-22:0,14:0-22:0,14:0-22:0,14:0-22:0,14:0-22:0,
45958,UPjwhZ3ywrkkhcZH1gbwHA,Oxford Market,"301 Grant St, Plaza Level",Pittsburgh,PA,40.4383265,-79.9990769,4.5,10,1,"Nightlife, Bars, Food Court, Restaurants",TRUE,,TRUE,,2,12:0-21:0,12:0-21:0,12:0-21:0,12:0-21:0,12:0-21:0,,
46042,yZ_wpRr4Svw8YRZ9voCgIw,The Vandal,4306 Butler St,Pittsburgh,PA,40.4708089,-79.9599895,4,247,1,"Restaurants, Cafes, Food, Wine Bars, Sandwiches, Bars, Coffee & Tea, American (Traditional), Breakfast & Brunch, Modern European, Nightlife, Burgers, American (New), Soul Food",TRUE,TRUE,FALSE,,2,,17:0-21:0,17:0-21:0,17:0-21:0,9:0-22:0,9:0-22:0,9:0-15:0
46312,5x6rki4wE7nxFzVnZTrhyw,Giovanni's Bar and Restaurant,3385 Babcock Blvd,Pittsburgh,PA,40.5368492,-80.02180364,3,25,1,"Restaurants, Mediterranean, Bars, Nightlife, Sports Bars, American (Traditional), Italian",TRUE,FALSE,TRUE,,,11:0-22:0,11:0-22:0,11:0-22:0,11:0-22:0,11:0-0:0,11:0-0:0,11:0-21:0
46339,arGo97Zk7YoHbFGKDFUFKg,Osteria 100,100 Wood St,Pittsburgh,PA,40.4377928,-80.001912,3.5,8,0,"Italian, Restaurants",,,,,2,11:0-21:0,11:0-21:0,11:0-21:0,11:0-23:0,11:0-23:0,11:0-23:0,
46348,rkGuqKxFOvxhAKaDeFVd4g,Arby's,1911 S Braddock Ave,Pittsburgh,PA,40.422751,-79.8855512,1.5,3,1,"Sandwiches, Fast Food, Restaurants",TRUE,,TRUE,,1,10:0-0:0,10:0-0:0,10:0-0:0,10:0-0:0,10:0-1:0,10:0-1:0,10:0-0:0
46596,HG3ROmv3FJZTMJPpThSXOw,Luke Wholey's Wild Alaskan Grille,2106 Penn Ave,Pittsburgh,PA,40.45192124,-79.98280732,4,470,1,"Cocktail Bars, Sushi Bars, Bars, Nightlife, Restaurants, Seafood, Dance Clubs",TRUE,TRUE,TRUE,,2,,11:0-21:0,11:0-21:0,11:0-21:0,11:0-22:0,11:0-22:0,11:0-18:0
46641,TrCiLMGy_bxbeAQcuSSUeQ,Larry & Carols Pizza,410 Semple St,Pittsburgh,PA,40.4368369,-79.9547169,2.5,45,1,"Italian, Sandwiches, Pizza, Restaurants",TRUE,TRUE,TRUE,,1,11:0-0:0,11:0-2:0,11:0-2:0,11:0-3:0,11:0-3:0,11:0-3:0,11:0-2:0
46671,KCxdy3cm7H0jXnDhhPvBYw,India on Wheels,4422 Bigelow Blvd,Pittsburgh,PA,40.4444668,-79.9548644,4,50,1,"Caterers, Event Planning & Services, Food Stands, Food Trucks, Restaurants, Indian, Food",FALSE,TRUE,TRUE,,1,10:30-18:0,10:30-18:0,10:30-18:0,10:30-18:0,10:30-18:0,,
47312,M-qtsg3fVoG6sWBrDz4-6w,Pizza Parma,963 Liberty Ave,Pittsburgh,PA,40.44374546,-79.99576636,3,78,1,"Food Delivery Services, Event Planning & Services, Pizza, Restaurants, Food, Caterers",TRUE,TRUE,TRUE,,1,10:0-1:0,10:0-1:0,10:0-1:0,10:0-1:0,10:0-2:0,10:0-2:0,10:0-1:0
47398,D0QlxiC0l2oPpnRmhCJuIA,Giant Eagle,9001 Frankstown Rd,Pittsburgh,PA,40.4622839,-79.8652086,2,3,1,"Grocery, Food, Bakeries, Drugstores, Restaurants, Delis, Shopping",TRUE,TRUE,,,2,7:0-23:0,7:0-23:0,7:0-23:0,7:0-23:0,7:0-23:0,7:0-23:0,7:0-23:0
47584,G4EBHnNSTWsnqTzxdiv5VQ,Domino's Pizza,300 6th Ave Uppr 100,Pittsburgh,PA,40.4418325,-79.9993607,1.5,34,1,"Pizza, Restaurants, Chicken Wings, Sandwiches",TRUE,FALSE,FALSE,,1,10:0-2:0,10:0-2:0,10:0-2:0,10:0-2:0,10:0-4:0,10:0-4:0,10:0-2:0
47592,e9KXojla4OuVP7qcC5LNsg,Union Grill,413 S Craig St,Pittsburgh,PA,40.4448085,-79.9484522,4,407,1,"American (Traditional), Restaurants",TRUE,TRUE,TRUE,,2,11:30-21:0,11:30-21:0,11:30-21:0,11:30-21:0,11:30-21:0,12:0-21:0,12:0-21:0
47834,Oy228reHc1KcnY7qiyW9Rg,Slice on Broadway,6004 Centre Ave,Pittsburgh,PA,40.4598367,-79.9246771,3,28,1,"Salad, Restaurants, Pizza, Sandwiches, Italian",TRUE,TRUE,,,2,11:0-22:0,11:0-22:0,11:0-22:0,11:0-22:0,11:0-22:0,11:0-22:0,12:0-20:0
47925,1qYCUtw6_ehv7u_FxiE8IA,Iron Born Pizza,2016 Smallman St,Pittsburgh,PA,40.4519643,-79.9840432,4.5,105,0,"Pizza, Restaurants",TRUE,TRUE,TRUE,,2,0:0-0:0,11:0-21:0,11:0-21:0,11:0-21:0,11:0-22:0,10:0-22:0,10:0-15:0
47996,bsXdGEeHJPDkyIzAk0XnCg,GM Dog N' Burger Shoope,4820 Liberty Ave,Pittsburgh,PA,40.4600355,-79.9464548,3.5,11,1,"Hot Dogs, Burgers, Restaurants, Breakfast & Brunch",FALSE,TRUE,TRUE,,1,6:0-17:0,6:0-17:0,6:0-17:0,6:0-17:0,6:0-17:0,7:0-14:0,7:0-14:0
48113,_adbswq_0E8MoJ9eoVf6vw,Comfort Inn Conference Center,699 Rodi Rd,Pittsburgh,PA,40.443041,-79.826353,2.5,47,1,"Hotels & Travel, Restaurants, Event Planning & Services, Hotels",TRUE,,,,2,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0
48152,Hdnx6cZBo0JfZopnQDWVYg,Teppanyaki Kyoto,5808 Bryant St,Pittsburgh,PA,40.4757439,-79.9204743,4,185,1,"Restaurants, Japanese",TRUE,TRUE,TRUE,,2,,17:0-21:30,17:0-21:30,17:0-21:30,17:0-22:30,17:0-22:30,17:0-21:0
48609,aOZYec5EnkEMidIQJI0h7w,El Paisano Mexican Restaurant,1542 Beechview Ave,Pittsburgh,PA,40.41107932,-80.0250531,4,6,1,"Mexican, Restaurants, New Mexican Cuisine",FALSE,,TRUE,,,11:0-21:0,10:0-21:0,10:0-21:0,10:0-21:0,10:0-21:0,10:0-21:0,10:0-21:0
48730,Mge4KiFP09sWeKpbM6J65w,Little Shanghai,1611 Penn Ave,Pittsburgh,PA,40.4488823,-79.9873238,4.5,7,0,"Restaurants, Chinese",TRUE,,TRUE,,2,11:0-21:0,11:0-21:0,11:0-21:0,11:0-21:0,11:0-21:0,11:0-21:0,11:0-21:0
48904,uS5BHjGpMDQMTzLfuMVmHw,Fujiya Ramen,815 S Aiken Ave,Pittsburgh,PA,40.4504837,-79.9351521,4,109,1,"Ramen, Restaurants, Japanese, Sushi Bars, Izakaya",TRUE,,TRUE,,2,0:0-0:0,16:30-21:0,16:30-21:0,16:30-21:30,16:30-21:30,11:30-21:30,11:30-21:30
48917,g0vVEWvHbKBTvFYGyvhiSg,Food For Thought Deli,194 N Craig St,Pittsburgh,PA,40.449658,-79.9505185,4.5,43,1,"Restaurants, Sandwiches, Delis",TRUE,FALSE,TRUE,,1,9:0-18:0,9:0-18:0,9:0-18:0,9:0-18:0,9:0-18:0,9:0-15:0,9:0-15:0
49001,ax8kuBZVtC0_eCn_rN_-6A,Burger King,1820 East Carson Street,Pittsburgh,PA,40.4284472,-79.9795539,2,45,1,"Fast Food, Restaurants, Burgers",TRUE,TRUE,TRUE,,1,6:0-22:0,6:0-22:0,6:0-22:0,6:0-22:0,6:0-22:0,6:0-22:0,7:0-22:0
49063,3TrY8CpsnvnTTYigx2R4yg,Prantl's Bakery,5525 Walnut St,Pittsburgh,PA,40.4515944,-79.9328629,4,242,1,"Bakeries, Restaurants, Desserts, Food",TRUE,TRUE,,,1,0:0-0:0,7:30-18:0,7:30-18:0,7:30-18:0,7:30-18:0,7:30-18:0,7:0-16:0
49080,JmdgFq9sgXUIzeqalwrTRA,Dairy Queen Orange Julius,1693 Mcfarland Rd,Pittsburgh,PA,40.3961295,-80.04693619,3.5,18,1,"Ice Cream & Frozen Yogurt, Food, Fast Food, Restaurants, Juice Bars & Smoothies",TRUE,FALSE,TRUE,,1,11:0-20:0,11:0-20:0,11:0-20:0,11:0-20:0,11:0-21:0,11:0-21:0,12:0-20:0
49150,v50-nvBCZNf7nCNbyUlQLw,Crepes Parisiennes,732 Filbert St,Pittsburgh,PA,40.4516361,-79.9333919,4,73,0,"French, Restaurants, Creperies, Breakfast & Brunch",FALSE,,TRUE,,1,,9:0-17:0,9:0-17:0,9:0-17:0,9:0-17:0,10:0-16:0,10:0-16:0
49312,bD_vqSSU_abcCT0oCzN1xA,Wok of Life,,Pittsburgh,PA,40.4828051,-80.0367259,2.5,4,1,"Food, Food Trucks, Restaurants, Chinese",TRUE,TRUE,TRUE,,1,,,11:0-14:0,11:0-14:0,11:0-14:0,12:0-16:0,11:0-14:0
49336,2UCXCbv7qaO3d8FfQd4Ing,Pizza Bellino,5839 Forbes Ave,Pittsburgh,PA,40.4382722,-79.9213674,3,82,1,"Restaurants, Salad, Mediterranean, Chicken Wings, Pizza",TRUE,TRUE,TRUE,,1,10:0-1:0,10:0-1:0,10:0-1:0,10:0-1:0,10:0-2:0,10:0-2:0,10:0-1:0
49361,X47pt6a4ID4aM2ONYdSW8Q,The Coffee Tree Roasters,151 Bakery Square Blvd,Pittsburgh,PA,40.456528,-79.915821,3.5,45,0,"Coffee & Tea, Food, Restaurants, Coffee Roasteries, Cafes",TRUE,TRUE,,,2,5:30-19:0,5:30-19:0,5:30-19:0,5:30-19:0,5:30-19:0,5:30-19:0,5:30-19:0
49373,kwMJ4KfhEcrk9jiMe-S6wQ,Mercurio's,5523 Walnut St,Pittsburgh,PA,40.4516601,-79.9329553,4,359,1,"Ice Cream & Frozen Yogurt, Italian, Pizza, Restaurants, Food, Gelato",TRUE,TRUE,TRUE,,2,0:0-0:0,11:0-22:0,11:0-22:0,11:0-22:0,11:0-23:0,11:0-23:0,13:0-21:0
49585,xGXtoeQAggLP9646N4Iwnw,Vasta Lounge,2937 W Liberty Ave,Pittsburgh,PA,40.394297,-80.0350145,3,4,1,"Restaurants, Bars, Nightlife, Karaoke, American (Traditional), Lounges",,,,,,17:0-0:0,17:0-0:0,17:0-0:0,17:0-0:0,17:0-0:0,17:0-0:0,17:0-0:0
49625,pxlTuangM_lHmQqx44RsaA,Rasta House Caribbean Resturant,1204 Federal St,Pittsburgh,PA,40.456127,-80.006524,4,29,0,"Caribbean, Restaurants",TRUE,TRUE,TRUE,,2,11:0-21:0,11:0-21:0,11:0-21:0,11:0-21:0,11:0-23:0,11:0-23:0,12:0-18:0
49739,yAQhluWOU-_f2IfkS24a_Q,AntiquiTea Tearoom & Gift Shop,454 Perry Hwy,Pittsburgh,PA,40.5200347,-80.0325538,3.5,3,0,"Antiques, Flowers & Gifts, Gift Shops, Food, Restaurants, Shopping, Tea Rooms",TRUE,,FALSE,,2,,11:0-15:0,11:0-15:0,11:0-15:0,11:0-15:0,11:0-15:0,
49945,FXSmA6oWEvylen1QnVZlAA,Pamela's Upstreet Diner,1711 Murray Ave,Pittsburgh,PA,40.4376321,-79.9227779,4,204,1,"Diners, Breakfast & Brunch, Restaurants",FALSE,TRUE,TRUE,,1,7:30-15:30,7:30-15:30,7:30-15:30,7:30-15:30,7:30-15:30,7:30-15:30,8:0-15:0
49959,5E37qENVklkwAMHmIwc_IA,China Village,3360 Library Rd,Pittsburgh,PA,40.3684469,-80.0130696,4.5,5,0,"Chinese, Restaurants",FALSE,TRUE,TRUE,,2,11:0-20:30,11:0-20:30,11:0-20:30,11:0-20:30,11:0-20:30,12:0-20:30,
49998,5nfeycwKUJKpb40JWlA9jw,Josie's Sweets and Treats,2897 W Liberty Ave,Pittsburgh,PA,40.39479996,-80.03426984,4.5,13,1,"Food, Bakeries, Vegan, Gluten-Free, Restaurants, Cupcakes",TRUE,TRUE,,,,0:0-0:0,10:0-19:0,10:0-19:0,10:0-19:0,10:0-19:0,9:0-18:0,
50082,x2wfT_y8TgCfEHD7DSyL5A,Fox's Pizza Den,12244 Frankstown Rd,Pittsburgh,PA,40.4722645,-79.819125,2.5,6,1,"Sandwiches, Restaurants, Pizza",,,,,,11:0-22:0,11:0-22:0,11:0-22:0,11:0-22:0,11:0-23:0,11:0-23:0,12:0-22:0
50097,3H1I31BQeHO017Sg92Cbow,Independent Brewing Company,1704 Shady Ave,Pittsburgh,PA,40.43768277,-79.91952912,4,156,1,"Beer Bar, American (New), Pubs, Fruits & Veggies, Nightlife, Bars, Restaurants, Specialty Food, Food, Tapas/Small Plates, Beer, Wine & Spirits",TRUE,TRUE,FALSE,,2,17:0-23:0,17:0-23:0,17:0-23:0,17:0-0:0,17:0-0:0,17:0-0:0,
50160,I-D4qEtJJ4okSLrLKxMMRw,Burger King,2799 Freeport Rd,Pittsburgh,PA,40.53843173,-79.83319846,3.5,8,1,"Fast Food, Restaurants, Burgers",,,TRUE,,1,6:0-1:0,6:0-1:0,6:0-1:0,6:0-1:0,6:0-2:0,6:0-2:0,6:0-1:0
50202,Ltf3TUXESd0V9emwx8NXWA,Dive Bar and Grille,2132 East Carson St,Pittsburgh,PA,40.42826895,-79.97509214,4,85,1,"Burgers, Nightlife, Bars, Restaurants, Breakfast & Brunch, American (Traditional)",TRUE,FALSE,FALSE,,2,11:0-2:0,11:0-2:0,11:0-2:0,11:0-2:0,11:0-2:0,11:0-2:0,11:0-2:0
50306,MjwSxdDia1AygI1-3vaWWg,Subway Restaurants,414 Smithfield St,Pittsburgh,PA,40.4390849,-79.999185,3.5,3,1,"Sandwiches, Restaurants, Delis, Fast Food",TRUE,,TRUE,,1,6:0-21:0,6:0-21:0,6:0-21:0,6:0-21:0,6:0-21:0,8:0-20:0,
50331,#NAME?,YinzBurgh BBQ,4903 Baum Blvd,Pittsburgh,PA,40.45525742,-79.94619031,4,184,1,"Restaurants, Barbeque, Southern, Vegan",TRUE,TRUE,TRUE,,2,0:0-0:0,17:0-20:0,17:0-20:0,17:0-20:0,17:0-21:0,11:30-21:0,
50337,sC5KVDDvSt2ZbMYVL3excQ,Niko's Coffee,1125 Penn Ave,Pittsburgh,PA,40.4455105,-79.9932528,4.5,3,0,"Cafes, Food, Tea Rooms, Restaurants",TRUE,,,,,7:0-17:0,7:0-17:0,7:0-17:0,7:0-17:0,7:0-17:0,,
